Station,Year,Month,monthly_rainfall
Dinajpur,1949,5,450.0
Dinajpur,1949,6,586.0
Dinajpur,1949,7,296.0
Dinajpur,1949,8,291.0
Dinajpur,1949,9,330.0
Dinajpur,1949,10,150.0
Dinajpur,1949,11,0.0
Dinajpur,1949,12,0.0
Faridpur,1949,1,0.0
Faridpur,1949,2,12.0
Faridpur,1949,3,75.0
Faridpur,1949,4,441.0
Faridpur,1949,5,417.0
Faridpur,1949,6,482.0
Faridpur,1949,7,412.0
Faridpur,1949,8,261.0
Faridpur,1949,9,377.0
Faridpur,1949,10,96.0
Faridpur,1949,11,0.0
Faridpur,1949,12,0.0
Jessore,1949,1,14.0
Jessore,1949,2,2.0
Jessore,1949,3,30.0
Jessore,1949,4,321.0
Jessore,1949,5,212.0
Jessore,1949,6,150.0
Jessore,1949,7,343.0
Jessore,1949,8,326.0
Jessore,1949,9,173.0
Jessore,1949,10,216.0
Jessore,1949,11,0.0
Jessore,1949,12,0.0
Khulna,1949,1,0.0
Khulna,1949,2,1.0
Khulna,1949,3,25.0
Khulna,1949,4,271.0
Khulna,1949,5,143.0
Khulna,1949,6,311.0
Khulna,1949,7,268.0
Khulna,1949,8,190.0
Khulna,1949,9,130.0
Khulna,1949,10,85.0
Khulna,1949,11,0.0
Khulna,1949,12,0.0
Satkhira,1949,1,1.0
Satkhira,1949,2,1.0
Satkhira,1949,3,0.0
Satkhira,1949,4,149.0
Satkhira,1949,5,368.0
Satkhira,1949,6,384.0
Satkhira,1949,7,239.0
Satkhira,1949,8,419.0
Satkhira,1949,9,109.0
Satkhira,1949,10,57.0
Satkhira,1949,11,0.0
Satkhira,1949,12,0.0
Srimangal,1949,1,6.0
Srimangal,1949,2,1.0
Srimangal,1949,3,58.0
Srimangal,1949,4,360.0
Srimangal,1949,5,321.0
Srimangal,1949,6,639.0
Srimangal,1949,7,310.0
Srimangal,1949,8,245.0
Srimangal,1949,9,317.0
Srimangal,1949,10,165.0
Srimangal,1949,11,5.0
Srimangal,1949,12,0.0
Barisal,1950,1,0.0
Barisal,1950,2,90.0
Barisal,1950,3,13.0
Barisal,1950,4,66.0
Barisal,1950,5,87.0
Barisal,1950,6,476.0
Barisal,1950,7,546.0
Barisal,1950,8,337.0
Barisal,1950,9,187.0
Barisal,1950,10,339.0
Barisal,1950,11,98.0
Barisal,1950,12,0.0
Bogra,1950,1,0.0
Bogra,1950,2,18.0
Bogra,1950,3,36.0
Bogra,1950,4,2.0
Bogra,1950,5,123.0
Bogra,1950,6,180.0
Bogra,1950,7,158.0
Bogra,1950,8,555.0
Bogra,1950,9,102.0
Bogra,1950,10,182.0
Bogra,1950,11,21.0
Bogra,1950,12,0.0
Chittagong,1950,1,0.0
Chittagong,1950,2,44.0
Chittagong,1950,3,2.0
Chittagong,1950,4,102.0
Chittagong,1950,5,175.0
Chittagong,1950,6,1676.0
Chittagong,1950,7,997.0
Chittagong,1950,8,669.0
Chittagong,1950,9,179.0
Chittagong,1950,10,187.0
Chittagong,1950,11,93.0
Chittagong,1950,12,0.0
Comilla,1950,1,0.0
Comilla,1950,2,19.0
Comilla,1950,3,26.0
Comilla,1950,4,28.0
Comilla,1950,5,257.0
Comilla,1950,6,421.0
Comilla,1950,7,266.0
Comilla,1950,8,530.0
Comilla,1950,9,183.0
Comilla,1950,10,297.0
Comilla,1950,11,258.0
Comilla,1950,12,0.0
Cox's Bazar,1950,1,0.0
Cox's Bazar,1950,2,50.0
Cox's Bazar,1950,3,11.0
Cox's Bazar,1950,4,20.0
Cox's Bazar,1950,5,202.0
Cox's Bazar,1950,6,790.0
Cox's Bazar,1950,7,1368.0
Cox's Bazar,1950,8,744.0
Cox's Bazar,1950,9,440.0
Cox's Bazar,1950,10,241.0
Cox's Bazar,1950,11,88.0
Cox's Bazar,1950,12,0.0
Dinajpur,1950,1,0.0
Dinajpur,1950,2,0.0
Dinajpur,1950,3,19.0
Dinajpur,1950,4,0.0
Dinajpur,1950,5,88.0
Dinajpur,1950,6,393.0
Dinajpur,1950,7,189.0
Dinajpur,1950,8,288.0
Dinajpur,1950,9,111.0
Dinajpur,1950,10,0.0
Dinajpur,1950,11,0.0
Dinajpur,1950,12,0.0
Faridpur,1950,1,0.0
Faridpur,1950,2,14.0
Faridpur,1950,3,0.0
Faridpur,1950,4,38.0
Faridpur,1950,5,375.0
